x,z_upper,z_lower,delta
2.505016722408026641e+00,5.144024639336612914e-01,-3.159036455170016189e-01,5.616841298059697257e-02
2.528428093645484598e+00,5.133750687853180228e-01,-3.158605407527900755e-01,5.661806091284555392e-02
2.551839464882942998e+00,5.122377853037155537e-01,-3.157501165209196659e-01,5.706711445679755329e-02
2.575250836120400955e+00,5.110753965148017164e-01,-3.156396922890492562e-01,5.751557984066466012e-02
2.598662207357859355e+00,5.099130077258877680e-01,-3.155292680571788466e-01,5.796346317140361332e-02
2.622073578595317755e+00,5.087506189369739307e-01,-3.154188438253084370e-01,5.841077043814733860e-02
2.645484949832775712e+00,5.075882301480600933e-01,-3.152292908282986472e-01,5.885750751550929832e-02
2.668896321070234112e+00,5.063090848433133839e-01,-3.149932891021145487e-01,5.930368016676683396e-02
2.692307692307692069e+00,5.050219748419388921e-01,-3.147572873759305057e-01,5.974929404692868457e-02
2.715719063545150469e+00,5.037348648405645113e-01,-3.145212856497464626e-01,6.019435470569230867e-02
2.739130434782608425e+00,5.024477548391900195e-01,-3.142852839235624196e-01,6.063886759029544354e-02
2.762541806020066826e+00,5.011549494303280117e-01,-3.139593665319048710e-01,6.108283804826689090e-02
2.785953177257524782e+00,4.997463814513107838e-01,-3.136012112213300007e-01,6.152627133008067156e-02
2.809364548494983183e+00,4.983378134722935560e-01,-3.132430559107550749e-01,6.196917259171794146e-02
2.832775919732441139e+00,4.969292454932763836e-01,-3.128849006001802047e-01,6.241154689714035336e-02
2.856187290969899539e+00,4.955206775142591558e-01,-3.125267452896053344e-01,6.285339922067896545e-02
2.879598662207357496e+00,4.940955497822624443e-01,-3.120746566204077310e-01,6.329473444934188842e-02
2.903010033444815896e+00,4.925742383869903818e-01,-3.116033822860649338e-01,6.373555738504439738e-02
2.926421404682273852e+00,4.910529269917182638e-01,-3.111321079517221366e-01,6.417587274676449238e-02
2.949832775919732253e+00,4.895316155964461458e-01,-3.106608336173793394e-01,6.461568517262708533e-02
2.973244147157190209e+00,4.880103042011740833e-01,-3.101895592830365422e-01,6.505499922191960993e-02
2.996655518394648610e+00,4.864639608775558899e-01,-3.096204504135335323e-01,6.549381937704214229e-02
3.020066889632107010e+00,4.848371630585751046e-01,-3.090421287278303231e-01,6.593215004539410007e-02
3.043478260869564966e+00,4.832103652395943194e-01,-3.084638070421271694e-01,6.636999556120068422e-02
3.066889632107023367e+00,4.815835674206135342e-01,-3.078854853564240157e-01,6.680736018728100634e-02
3.090301003344481323e+00,4.799567696016328044e-01,-3.073071636707208065e-01,6.724424811676026070e-02
3.113712374581939724e+00,4.782972745286342975e-01,-3.066262219087657059e-01,6.768066347472841138e-02
3.137123745819397680e+00,4.765679932227356863e-01,-3.059439930486411163e-01,6.811661031984696246e-02
3.160535117056856080e+00,4.748387119168369641e-01,-3.052617641885164157e-01,6.855209264590625406e-02
3.183946488294314037e+00,4.731094306109383529e-01,-3.045795353283918261e-01,6.898711438333494927e-02
3.207357859531772437e+00,4.713801493050396307e-01,-3.038923269289939277e-01,6.942167940066361342e-02
3.230769230769230393e+00,4.696134506533404251e-01,-3.031149215694485255e-01,6.985579150594388442e-02
3.254180602006688794e+00,4.677888931470455258e-01,-3.023375162099030677e-01,7.028945444812524646e-02
3.277591973244146750e+00,4.659643356407506820e-01,-3.015601108503576655e-01,7.072267191839072542e-02
3.301003344481605151e+00,4.641397781344558382e-01,-3.007827054908122077e-01,7.115544755145300493e-02
3.324414715719063107e+00,4.623152206281609944e-01,-2.999951125742530422e-01,7.158778492681264205e-02
3.347826086956521507e+00,4.604488082819744865e-01,-2.991242022123788979e-01,7.201968756997938204e-02
3.371237458193979464e+00,4.585330490571201678e-01,-2.982532918505047537e-01,7.245115895365830672e-02
3.394648829431437864e+00,4.566172898322658491e-01,-2.973823814886306094e-01,7.288220249890171865e-02
3.418060200668896265e+00,4.547015306074114749e-01,-2.965114711267564096e-01,7.331282157622819040e-02
3.441471571906354221e+00,4.527857713825571562e-01,-2.956269374169274711e-01,7.374301950670990313e-02
3.464882943143812621e+00,4.508257495251555835e-01,-2.946697000692615198e-01,7.417279956302939847e-02
3.488294314381270578e+00,4.488246808598732596e-01,-2.937124627215956241e-01,7.460216497050652096e-02
3.511705685618728978e+00,4.468236121945908801e-01,-2.927552253739296728e-01,7.503111890809714690e-02
3.535117056856186935e+00,4.448225435293085561e-01,-2.917979880262637216e-01,7.545966450936410219e-02
3.558528428093645335e+00,4.428214748640261766e-01,-2.908241017867315148e-01,7.588780486342154574e-02
