x,delta_upper,delta_lower
5.200803212851405455e+00,1.024936883041156627e-01,1.024936883041156627e-01
5.228915662650602592e+00,1.029683795629796617e-01,1.029683795629796617e-01
5.257028112449798840e+00,1.034427063737171637e-01,1.034427063737171637e-01
5.285140562248995977e+00,1.039166709628364937e-01,1.039166709628364937e-01
5.313253012048192225e+00,1.043902755314772002e-01,1.043902755314772002e-01
5.341365461847389362e+00,1.048635222558317176e-01,1.048635222558317176e-01
5.369477911646586499e+00,1.053364132875577730e-01,1.053364132875577730e-01
5.397590361445782747e+00,1.058089507541820629e-01,1.058089507541820629e-01
5.425702811244979884e+00,1.062811367594950623e-01,1.062811367594950623e-01
5.453815261044176133e+00,1.067529733839374662e-01,1.067529733839374662e-01
5.481927710843373269e+00,1.072244626849783167e-01,1.072244626849783167e-01
5.510040160642570406e+00,1.076956066974850273e-01,1.076956066974850273e-01
5.538152610441766655e+00,1.081664074340857457e-01,1.081664074340857457e-01
5.566265060240963791e+00,1.086368668855241110e-01,1.086368668855241110e-01
5.594377510040160040e+00,1.091069870210063103e-01,1.091069870210063103e-01
5.622489959839357176e+00,1.095767697885412922e-01,1.095767697885412922e-01
5.650602409638554313e+00,1.100462171152736673e-01,1.100462171152736673e-01
5.678714859437750562e+00,1.105153309078097529e-01,1.105153309078097529e-01
5.706827309236947698e+00,1.109841130525372616e-01,1.109841130525372616e-01
5.734939759036144835e+00,1.114525654159379681e-01,1.114525654159379681e-01
5.763052208835341084e+00,1.119206898448943249e-01,1.119206898448943249e-01
5.791164658634538220e+00,1.123884881669900693e-01,1.123884881669900693e-01
5.819277108433734469e+00,1.128559621908041960e-01,1.128559621908041960e-01
5.847389558232931606e+00,1.133231137061996990e-01,1.133231137061996990e-01
5.875502008032128742e+00,1.137899444846061647e-01,1.137899444846061647e-01
5.903614457831324991e+00,1.142564562792968280e-01,1.142564562792968280e-01
5.931726907630522128e+00,1.147226508256603272e-01,1.147226508256603272e-01
5.959839357429718376e+00,1.151885298414669356e-01,1.151885298414669356e-01
5.987951807228915513e+00,1.156540950271296303e-01,1.156540950271296303e-01
6.016064257028112650e+00,1.161193480659602484e-01,1.161193480659602484e-01
6.044176706827308898e+00,1.165842906244203975e-01,1.165842906244203975e-01
6.072289156626506035e+00,1.170489243523678558e-01,1.170489243523678558e-01
6.100401606425702283e+00,1.175132508832979206e-01,1.175132508832979206e-01
6.128514056224899420e+00,1.179772718345804411e-01,1.179772718345804411e-01
6.156626506024096557e+00,1.184409888076922157e-01,1.184409888076922157e-01
6.184738955823292805e+00,1.189044033884448653e-01,1.189044033884448653e-01
6.212851405622489942e+00,1.193675171472087793e-01,1.193675171472087793e-01
6.240963855421686191e+00,1.198303316391323703e-01,1.198303316391323703e-01
6.269076305220883327e+00,1.202928484043577773e-01,1.202928484043577773e-01
6.297188755020080464e+00,1.207550689682321127e-01,1.207550689682321127e-01
6.325301204819276712e+00,1.212169948415149495e-01,1.212169948415149495e-01
6.353413654618473849e+00,1.216786275205822415e-01,1.216786275205822415e-01
6.381526104417670098e+00,1.221399684876260383e-01,1.221399684876260383e-01
6.409638554216867234e+00,1.226010192108509811e-01,1.226010192108509811e-01
6.437751004016064371e+00,1.230617811446669679e-01,1.230617811446669679e-01
6.465863453815260620e+00,1.235222557298783774e-01,1.235222557298783774e-01
6.493975903614457756e+00,1.239824443938700727e-01,1.239824443938700727e-01
6.522088353413654005e+00,1.244423485507898386e-01,1.244423485507898386e-01
6.550200803212851142e+00,1.249019696017275999e-01,1.249019696017275999e-01
6.578313253012048278e+00,1.253613089348915854e-01,1.253613089348915854e-01
6.606425702811244527e+00,1.258203679257812735e-01,1.258203679257812735e-01
6.634538152610441664e+00,1.262791479373572556e-01,1.262791479373572556e-01
6.662650602409637912e+00,1.267376503202082005e-01,1.267376503202082005e-01
6.690763052208835049e+00,1.271958764127149866e-01,1.271958764127149866e-01
6.718875502008032186e+00,1.276538275412116286e-01,1.276538275412116286e-01
6.746987951807228434e+00,1.281115050201438177e-01,1.281115050201438177e-01
6.775100401606425571e+00,1.285689101522244915e-01,1.285689101522244915e-01
6.803212851405622708e+00,1.290260442285869613e-01,1.290260442285869613e-01
6.831325301204818956e+00,1.294829085289348758e-01,1.294829085289348758e-01
6.859437751004016093e+00,1.299395043216904633e-01,1.299395043216904633e-01
6.887550200803212341e+00,1.303958328641394160e-01,1.303958328641394160e-01
6.915662650602409478e+00,1.308518954025739978e-01,1.308518954025739978e-01
6.943775100401606615e+00,1.313076931724332652e-01,1.313076931724332652e-01
6.971887550200802863e+00,1.317632273984411517e-01,1.317632273984411517e-01
7.000000000000000000e+00,1.322184992947424143e-01,1.322184992947424143e-01
